timestep,avg_speed,congestion_fraction
265,22.211682,0.721000
266,22.375900,0.713000
267,22.472300,0.710000
268,22.244106,0.703000
269,21.855812,0.722000
270,21.519253,0.737000
271,21.692051,0.733000
272,22.055020,0.731000
273,21.839194,0.735000
274,21.788842,0.727000
275,22.002785,0.729000
276,21.916655,0.732000
277,21.923617,0.732000
278,22.048033,0.720000
279,21.984607,0.718000
280,21.849054,0.730000
281,21.614026,0.732000
282,21.201870,0.743000
283,21.130468,0.741000
284,21.051620,0.740000
285,21.458034,0.732000
286,21.422251,0.735000
287,21.646463,0.720000
288,21.807492,0.720000
289,21.895293,0.720000
290,21.961848,0.711000
291,21.816512,0.712000
292,21.864682,0.705000
293,21.655129,0.712000
294,21.609741,0.716000
295,21.711946,0.720000
296,21.584933,0.724000
297,21.686869,0.733000
298,21.706417,0.735000
299,21.715872,0.730000
300,21.542113,0.741000
301,21.613177,0.746000
302,21.477332,0.748000
303,21.155998,0.737000
304,21.108608,0.745000
305,21.010048,0.745000
306,21.146169,0.742000
307,21.215157,0.739000
308,21.432715,0.727000
309,21.631374,0.723000
310,21.710919,0.723000
311,21.717133,0.728000
312,21.572753,0.727000
313,21.679605,0.725000
314,21.862704,0.718000
315,22.025687,0.713000
316,22.186489,0.717000
317,22.473050,0.708000
318,22.539393,0.715000
319,22.676861,0.708000
320,22.377299,0.714000
321,22.483521,0.704000
322,22.551577,0.704000
323,22.273979,0.719000
324,22.267360,0.721000
325,22.302071,0.715000
326,22.268167,0.710000
327,21.859634,0.724000
328,22.088315,0.720000
329,22.363490,0.711000
330,22.425973,0.714000
331,22.465790,0.719000
332,22.561824,0.713000
333,22.739160,0.707000
334,22.833371,0.711000
335,22.620577,0.715000
336,22.714515,0.707000
337,22.677603,0.708000
338,22.392067,0.710000
339,22.062453,0.721000
340,22.206295,0.713000
341,22.199539,0.712000
342,22.292474,0.705000
343,22.061493,0.710000
344,22.098694,0.713000
345,22.038609,0.709000
346,21.941669,0.708000
347,21.985422,0.712000
348,21.816894,0.718000
349,21.623206,0.723000
350,21.757958,0.722000
351,21.694374,0.720000
352,21.975392,0.714000
353,22.042847,0.714000
354,22.225195,0.720000
355,22.231608,0.705000
356,22.415219,0.705000
357,22.099927,0.701000
358,22.045503,0.708000
359,21.859079,0.716000
