Threads,OpenMP_Time_s,GPU_Sim_Time_s,OMP_Speedup,GPU_Speedup,OMP_Effic,GPU_Effic,Serial_Time_s
1,3.640000,3.307000,0.984615,1.083762,0.984615,1.083762,3.584000
2,1.761000,1.628000,2.035207,2.201474,1.017604,1.100737,3.584000
4,1.397000,0.953000,2.565498,3.760755,0.641374,0.940189,3.584000
8,3.565000,1.499000,1.005330,2.390927,0.125666,0.298866,3.584000
16,2.470000,1.863000,1.451012,1.923779,0.090688,0.120236,3.584000
32,3.149000,3.006000,1.138139,1.192282,0.035567,0.037259,3.584000
64,4.190000,4.366000,0.855370,0.820889,0.013365,0.012826,3.584000
