Threads,OpenMP_Time_s,GPU_Sim_Time_s,OMP_Speedup,GPU_Speedup,OMP_Effic,GPU_Effic,Serial_Time_s
1,4.616000,4.057000,0.776430,0.883411,0.776430,0.883411,3.584000
2,1.713000,1.709000,2.092236,2.097133,1.046118,1.048566,3.584000
4,1.190000,1.049000,3.011765,3.416587,0.752941,0.854147,3.584000
8,2.814000,3.383000,1.273632,1.059415,0.159204,0.132427,3.584000
16,2.757000,3.521000,1.299964,1.017893,0.081248,0.063618,3.584000
32,3.304000,4.270000,1.084746,0.839344,0.033898,0.026230,3.584000
64,4.786000,5.978000,0.748851,0.599532,0.011701,0.009368,3.584000
