Threads,OpenMP_Time_s,GPU_Sim_Time_s,OMP_Speedup,GPU_Speedup,OMP_Effic,GPU_Effic,Serial_Time_s
1,3.845000,3.475000,0.932120,1.031367,0.932120,1.031367,3.584000
2,1.665000,1.767000,2.152553,2.028297,1.076276,1.014148,3.584000
4,1.255000,0.993000,2.855777,3.609265,0.713944,0.902316,3.584000
8,3.118000,1.956000,1.149455,1.832311,0.143682,0.229039,3.584000
16,2.367000,2.188000,1.514153,1.638025,0.094635,0.102377,3.584000
32,3.173000,3.417000,1.129530,1.048873,0.035298,0.032777,3.584000
64,2.978000,3.856000,1.203492,0.929461,0.018805,0.014523,3.584000
