Threads,OpenMP_Time_s,GPU_Sim_Time_s,OMP_Speedup,GPU_Speedup,OMP_Effic,GPU_Effic,Serial_Time_s
1,3.225000,4.261000,1.111318,0.841117,1.111318,0.841117,3.584000
2,1.717000,1.665000,2.087362,2.152553,1.043681,1.076276,3.584000
4,1.166000,0.977000,3.073756,3.668372,0.768439,0.917093,3.584000
8,3.379000,1.427000,1.060669,2.511563,0.132584,0.313945,3.584000
16,2.680000,1.681000,1.337313,2.132064,0.083582,0.133254,3.584000
32,3.101000,2.475000,1.155756,1.448081,0.036117,0.045253,3.584000
64,4.622000,4.903000,0.775422,0.730981,0.012116,0.011422,3.584000
