Threads,OpenMP_Time_s,GPU_Sim_Time_s,OMP_Speedup,GPU_Speedup,OMP_Effic,GPU_Effic,Serial_Time_s
1,3.709000,3.423000,0.966298,1.047035,0.966298,1.047035,3.584000
2,1.633000,1.631000,2.194733,2.197425,1.097367,1.098713,3.584000
4,1.364000,0.966000,2.627566,3.710144,0.656892,0.927536,3.584000
8,3.389000,1.380000,1.057539,2.597102,0.132192,0.324638,3.584000
16,2.429000,1.661000,1.475504,2.157736,0.092219,0.134859,3.584000
32,2.096000,1.667000,1.709924,2.149970,0.053435,0.067187,3.584000
64,2.842000,4.638000,1.261084,0.772747,0.019704,0.012074,3.584000
