Threads,OpenMP_Time_s,GPU_Sim_Time_s,OMP_Speedup,GPU_Speedup,OMP_Effic,GPU_Effic,Serial_Time_s
1,3.640000,3.139000,0.984615,1.141765,0.984615,1.141765,3.584000
2,1.656000,1.683000,2.164251,2.129531,1.082125,1.064765,3.584000
4,2.476000,1.466000,1.447496,2.444747,0.361874,0.611187,3.584000
8,3.323000,3.094000,1.078543,1.158371,0.134818,0.144796,3.584000
16,2.273000,2.790000,1.576771,1.284588,0.098548,0.080287,3.584000
32,3.180000,2.558000,1.127044,1.401095,0.035220,0.043784,3.584000
64,9.862000,15.698000,0.363415,0.228309,0.005678,0.003567,3.584000
