Threads,OpenMP_Time_s,GPU_Sim_Time_s,OMP_Speedup,GPU_Speedup,OMP_Effic,GPU_Effic,Serial_Time_s
1,3.662000,3.314000,0.978700,1.081473,0.978700,1.081473,3.584000
2,1.654000,1.636000,2.166868,2.190709,1.083434,1.095355,3.584000
4,1.307000,1.017000,2.742157,3.524090,0.685539,0.881023,3.584000
8,3.183000,1.760000,1.125982,2.036364,0.140748,0.254545,3.584000
16,2.416000,2.013000,1.483444,1.780427,0.092715,0.111277,3.584000
32,3.038000,3.066000,1.179723,1.168950,0.036866,0.036530,3.584000
64,4.492000,4.859000,0.797863,0.737600,0.012467,0.011525,3.584000
